Alarm with value triggered: Id=912568944,Tag=ognjen_tag1,Tag value= 45.3990499739547, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:19:09 PM
Alarm with value triggered: Id=1621597009,Tag=ognjen_tag1,Tag value= 83.8670567945424, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:20:19 PM
Alarm with value triggered: Id=1722323349,Tag=ognjen_tag1,Tag value= 99.8629534754574, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:20:29 PM
Alarm with value triggered: Id=1722349814,Tag=ognjen_tag1,Tag value= 99.8629534754574, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:20:29 PM
Alarm with value triggered: Id=2092392023,Tag=ognjen_tag1,Tag value= 89.1006524188368, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:20:39 PM
Alarm with value triggered: Id=2091943238,Tag=ognjen_tag1,Tag value= 89.1006524188368, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:20:39 PM
Alarm with value triggered: Id=1925124017,Tag=ognjen_tag1,Tag value= 54.4639035015027, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:20:49 PM
Alarm with value triggered: Id=1925150525,Tag=ognjen_tag1,Tag value= 54.4639035015027, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:20:49 PM
Alarm with value triggered: Id=-1903240312,Tag=ognjen_tag1,Tag value= 45.3990499739547, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:21:09 PM
Alarm with value triggered: Id=-2070516109,Tag=ognjen_tag1,Tag value= 83.8670567945424, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:21:19 PM
Alarm with value triggered: Id=-2070522528,Tag=ognjen_tag1,Tag value= 83.8670567945424, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:21:19 PM
Alarm with value triggered: Id=-1682811162,Tag=ognjen_tag1,Tag value= 100, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:21:31 PM
Alarm with value triggered: Id=-1682751231,Tag=ognjen_tag1,Tag value= 100, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:21:31 PM
Alarm with value triggered: Id=-1850031206,Tag=ognjen_tag1,Tag value= 83.8670567945424, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:21:41 PM
Alarm with value triggered: Id=-1850070375,Tag=ognjen_tag1,Tag value= 83.8670567945424, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:21:41 PM
Alarm with value triggered: Id=-1753045939,Tag=ognjen_tag1,Tag value= 45.3990499739547, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:21:51 PM
Alarm with value triggered: Id=-1300770535,Tag=ognjen_tag1,Tag value= 95.1056516295154, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:22:37 PM
Alarm with value triggered: Id=-1301244859,Tag=ognjen_tag1,Tag value= 95.1056516295154, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:22:37 PM
Alarm with value triggered: Id=-931598323,Tag=ognjen_tag1,Tag value= 62.9320391049837, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:22:47 PM
Alarm with value triggered: Id=-931604610,Tag=ognjen_tag1,Tag value= 62.9320391049837, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:22:47 PM
Alarm with value triggered: Id=-632287706,Tag=ognjen_tag1,Tag value= 77.7145961456971, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:23:17 PM
Alarm with value triggered: Id=-632261368,Tag=ognjen_tag1,Tag value= 77.7145961456971, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:23:17 PM
Alarm with value triggered: Id=-799528523,Tag=ognjen_tag1,Tag value= 98.7688340595138, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:23:27 PM
Alarm with value triggered: Id=-799534949,Tag=ognjen_tag1,Tag value= 98.7688340595138, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:23:27 PM
Alarm with value triggered: Id=-694093956,Tag=ognjen_tag1,Tag value= 93.3580426497202, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:23:37 PM
Alarm with value triggered: Id=-694100387,Tag=ognjen_tag1,Tag value= 93.3580426497202, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:23:37 PM
Alarm with value triggered: Id=-324069011,Tag=ognjen_tag1,Tag value= 62.9320391049837, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:23:47 PM
Alarm with value triggered: Id=-324059135,Tag=ognjen_tag1,Tag value= 62.9320391049837, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:23:47 PM
Alarm with value triggered: Id=-24666892,Tag=ognjen_tag1,Tag value= 77.7145961456971, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:24:17 PM
Alarm with value triggered: Id=-24656928,Tag=ognjen_tag1,Tag value= 77.7145961456971, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:24:17 PM
Alarm with value triggered: Id=-192366218,Tag=ognjen_tag1,Tag value= 98.7688340595138, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:24:27 PM
Alarm with value triggered: Id=-192356254,Tag=ognjen_tag1,Tag value= 98.7688340595138, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:24:27 PM
Alarm with value triggered: Id=177311368,Tag=ognjen_tag1,Tag value= 93.3580426497202, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:24:37 PM
Alarm with value triggered: Id=177337840,Tag=ognjen_tag1,Tag value= 93.3580426497202, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:24:37 PM
Alarm with value triggered: Id=10032221,Tag=ognjen_tag1,Tag value= 62.9320391049837, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:24:47 PM
Alarm with value triggered: Id=10058573,Tag=ognjen_tag1,Tag value= 62.9320391049837, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:24:47 PM
Alarm with value triggered: Id=318146548,Tag=ognjen_tag1,Tag value= 77.7145961456971, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:25:17 PM
Alarm with value triggered: Id=318166469,Tag=ognjen_tag1,Tag value= 77.7145961456971, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:25:17 PM
Alarm with value triggered: Id=687753836,Tag=ognjen_tag1,Tag value= 98.7688340595138, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:25:27 PM
Alarm with value triggered: Id=687845718,Tag=ognjen_tag1,Tag value= 98.7688340595138, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:25:27 PM
Alarm with value triggered: Id=784663258,Tag=ognjen_tag1,Tag value= 93.3580426497202, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:25:37 PM
Alarm with value triggered: Id=784689605,Tag=ognjen_tag1,Tag value= 93.3580426497202, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:25:37 PM
Alarm with value triggered: Id=617414303,Tag=ognjen_tag1,Tag value= 62.9320391049837, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:25:47 PM
Alarm with value triggered: Id=617358726,Tag=ognjen_tag1,Tag value= 62.9320391049837, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:25:47 PM
Alarm with value triggered: Id=892068266,Tag=ognjen_tag1,Tag value= 77.7145961456971, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:26:17 PM
Alarm with value triggered: Id=892061840,Tag=ognjen_tag1,Tag value= 77.7145961456971, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:26:17 PM
Alarm with value triggered: Id=1261632615,Tag=ognjen_tag1,Tag value= 98.7688340595138, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:26:27 PM
Alarm with value triggered: Id=1261577041,Tag=ognjen_tag1,Tag value= 98.7688340595138, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:26:27 PM
Alarm with value triggered: Id=1094312763,Tag=ognjen_tag1,Tag value= 93.3580426497202, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:26:37 PM
Alarm with value triggered: Id=1094306343,Tag=ognjen_tag1,Tag value= 93.3580426497202, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:26:37 PM
Alarm with value triggered: Id=1191359779,Tag=ognjen_tag1,Tag value= 62.9320391049837, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:26:47 PM
Alarm with value triggered: Id=1191353349,Tag=ognjen_tag1,Tag value= 62.9320391049837, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:26:47 PM
Alarm with value triggered: Id=1763191682,Tag=ognjen_tag1,Tag value= 77.7145961456971, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:27:17 PM
Alarm with value triggered: Id=1763185403,Tag=ognjen_tag1,Tag value= 77.7145961456971, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:27:17 PM
Alarm with value triggered: Id=1868619668,Tag=ognjen_tag1,Tag value= 98.7688340595138, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:27:27 PM
Alarm with value triggered: Id=1868564097,Tag=ognjen_tag1,Tag value= 98.7688340595138, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:27:27 PM
Alarm with value triggered: Id=-1546934933,Tag=ognjen_tag1,Tag value= 83.8670567945424, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:29:20 PM
Alarm with value triggered: Id=-1547389191,Tag=ognjen_tag1,Tag value= 83.8670567945424, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:29:20 PM
Alarm with value triggered: Id=-1177293715,Tag=ognjen_tag1,Tag value= 100, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 5:29:30 PM
Alarm with value triggered: Id=-1177339145,Tag=ognjen_tag1,Tag value= 100, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 5:29:30 PM
Alarm with value triggered: Id=-496357018,Tag=ognjen_tag1,Tag value= 66.9130606358858, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 6:21:14 PM
Alarm with value triggered: Id=-496277020,Tag=ognjen_tag1,Tag value= 66.9130606358858, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 6:21:14 PM
Alarm with value triggered: Id=-127139400,Tag=ognjen_tag1,Tag value= 95.1056516295154, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 6:21:24 PM
Alarm with value triggered: Id=-127027341,Tag=ognjen_tag1,Tag value= 95.1056516295154, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 6:21:24 PM
Alarm with value triggered: Id=-25948785,Tag=ognjen_tag1,Tag value= 97.8147600733806, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 6:21:34 PM
Alarm with value triggered: Id=-25928662,Tag=ognjen_tag1,Tag value= 97.8147600733806, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 6:21:34 PM
Alarm with value triggered: Id=-193163590,Tag=ognjen_tag1,Tag value= 74.3144825477394, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 6:21:44 PM
Alarm with value triggered: Id=-193143446,Tag=ognjen_tag1,Tag value= 74.3144825477394, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 6:21:44 PM
Alarm with value triggered: Id=483801188,Tag=ognjen_tag1,Tag value= 99.4521895368273, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 6:29:32 PM
Alarm with value triggered: Id=483853970,Tag=ognjen_tag1,Tag value= 99.4521895368273, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 6:29:32 PM
Alarm with value triggered: Id=316644989,Tag=ognjen_tag1,Tag value= 80.9016994374947, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 6:29:42 PM
Alarm with value triggered: Id=316615873,Tag=ognjen_tag1,Tag value= 80.9016994374947, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 6:29:42 PM
Alarm with value triggered: Id=388480639,Tag=ognjen_tag1,Tag value= 40.67366430758, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 6:29:52 PM
Alarm with value triggered: Id=590677398,Tag=ognjen_tag1,Tag value= 58.7785252292473, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 6:30:12 PM
Alarm with value triggered: Id=590789440,Tag=ognjen_tag1,Tag value= 58.7785252292473, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 6:30:12 PM
Alarm with value triggered: Id=960350119,Tag=ognjen_tag1,Tag value= 91.3545457642601, Priority=2, Type=HIGH, Threshold=50, Timestamp=7/9/2024 6:30:22 PM
Alarm with value triggered: Id=960400245,Tag=ognjen_tag1,Tag value= 91.3545457642601, Priority=2, Type=HIGH, Threshold=40, Timestamp=7/9/2024 6:30:22 PM
